106年08月30日 個股日本益比、殖利率及股價淨值比,,,,,,
證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥            ,4.17,105,18.01,1.21,106/2
1102,亞泥            ,3.35,105,20.53,0.75,106/2
1103,嘉泥            ,1.67,105,42.86,0.46,106/2
1104,環泥            ,6.58,105,9.5,0.91,106/2
1108,幸福            ,6.76,105,24,0.79,106/2
1109,信大            ,0.88,105,16.06,0.79,106/2
1110,東泥            ,0.66,105,-,1.01,106/2
1201,味全            ,0,105,-,2.15,106/2
1203,味王            ,4.14,105,13.13,1.33,106/2
1210,大成            ,4.83,105,11.09,1.46,106/2
1213,大飲            ,0,105,313,1.28,106/2
1215,卜蜂            ,4.58,105,12.15,2.91,106/2
1216,統一            ,3.27,105,25.02,4.08,106/2
1217,愛之味          ,0,105,29.33,0.75,106/2
1218,泰山            ,0,105,-,1.75,106/2
1219,福壽            ,2.25,105,55.63,1.5,106/2
1220,台榮            ,6.34,105,16.53,0.84,106/2
1225,福懋油          ,2.02,105,38.63,4.37,106/2
1227,佳格            ,2.62,105,31.4,4.97,106/2
1229,聯華            ,7.58,105,10.99,1.11,106/2
1231,聯華食          ,6.46,105,12.66,1.81,106/2
1232,大統益          ,5.56,105,17.54,4.32,106/2
1233,天仁            ,4.5,105,19.86,2.4,106/2
1234,黑松            ,6.37,105,25.12,0.73,106/2
1235,興泰            ,0,105,10.36,0.59,106/2
1236,宏亞            ,1.73,105,44.36,1.08,106/2
1256,鮮活果汁-KY     ,3.09,105,14.58,4.03,106/2
1262,綠悅-KY         ,1.41,105,7.19,1.11,106/2
1301,台塑            ,4.89,105,13.91,1.96,106/2
1303,南亞            ,5.91,105,10.98,1.89,106/2
1304,台聚            ,4.67,105,15.63,0.88,106/2
1305,華夏            ,5.75,105,11.12,2.32,106/2
1307,三芳            ,6.18,105,11.87,1.73,106/2
1308,亞聚            ,4.86,105,13.41,0.98,106/2
1309,台達化          ,0,105,39.81,1.01,106/2
1310,台苯            ,10.65,105,8.29,1.61,106/2
1312,國喬            ,3.91,105,9.48,1.3,106/2
1313,聯成            ,5.72,105,12.91,0.9,106/2
1314,中石化          ,0,105,8.35,0.58,106/2
1315,達新            ,4.36,105,18.04,0.67,106/2
1316,上曜            ,0,105,-,2.31,106/2
1319,東陽            ,3.79,105,13.93,1.76,106/2
1321,大洋            ,0,105,-,1.41,106/2
1323,永裕            ,5.35,105,11.85,1.83,106/2
1324,地球            ,3.2,105,10.68,0.92,106/2
1325,恆大            ,4.07,105,28.07,1.01,106/2
1326,台化            ,5.9,105,12.6,1.79,106/2
1337,再生-KY         ,0.52,105,12.86,0.37,106/2
1338,廣華-KY         ,3.54,105,13.29,1.57,106/2
1339,昭輝            ,4.21,105,11.89,1.19,106/2
1340,勝悅-KY         ,4.45,105,7.33,0.95,106/2
1402,遠東新          ,3.29,105,19.76,0.69,106/2
1409,新纖            ,2.74,105,20.27,0.56,106/2
1410,南染            ,6.08,105,17.04,1.49,106/2
1413,宏洲            ,0,105,-,1.24,106/2
1414,東和            ,3.17,105,210,0.46,106/2
1416,廣豐            ,14.6,105,21.63,0.95,106/2
1417,嘉裕            ,0,105,-,0.49,106/2
1418,東華            ,0,105,-,4.06,106/2
1419,新紡            ,1.11,105,106.67,1.61,106/2
1423,利華            ,0,105,52.5,0.49,106/2
1432,大魯閣          ,0,105,-,1.29,106/2
1434,福懋            ,4.87,105,9.42,0.81,106/2
1435,中福            ,0,105,264.5,0.71,106/2
1436,華友聯          ,2.66,105,24.93,1.24,106/2
1437,勤益控          ,2.82,105,12.21,0.67,106/2
1438,裕豐            ,0,105,-,0.94,106/2
1439,中和            ,2.35,105,71,1.02,106/2
1440,南紡            ,2.35,105,30.91,0.91,106/2
1441,大東            ,0,105,-,1.07,106/2
1442,名軒            ,9.05,105,7.14,1.09,106/2
1443,立益            ,0,105,-,0.8,106/2
1444,力麗            ,0,105,-,1.03,106/2
1445,大宇            ,3.58,105,59.79,0.62,106/2
1446,宏和            ,1.36,105,130,1.79,106/2
1447,力鵬            ,0,105,-,0.74,106/2
1449,佳和            ,0,105,-,1.08,106/2
1451,年興            ,6.79,105,24.02,0.96,106/2
1452,宏益            ,5.05,105,13.42,1.33,106/2
1453,大將            ,0,105,-,0.71,106/2
1454,台富            ,3.58,105,36.48,0.69,106/2
1455,集盛            ,3.28,105,36.64,0.76,106/2
1456,怡華            ,0,105,13.78,0.89,106/2
1457,宜進            ,4.65,105,153.57,0.74,106/2
1459,聯發            ,0,105,-,0.77,106/2
1460,宏遠            ,5.35,105,16.08,1.38,106/2
1463,強盛            ,12.99,105,4.33,1.8,106/2
1464,得力            ,8.36,105,20.25,2.09,106/2
1465,偉全            ,5.18,105,19.02,0.76,106/2
1466,聚隆            ,0,105,-,0.75,106/2
1467,南緯            ,0,105,-,0.98,106/2
